iter	Passed	Remaining
304	1553	3540
305	1558	3535
306	1564	3531
307	1570	3529
308	1578	3530
309	1587	3533
310	1592	3528
311	1597	3523
312	1603	3520
313	1609	3516
314	1614	3511
315	1619	3505
316	1624	3499
317	1628	3492
318	1633	3486
319	1639	3483
320	1643	3476
321	1648	3471
322	1653	3465
323	1658	3459
324	1663	3454
325	1668	3448
326	1673	3444
327	1678	3439
328	1684	3435
329	1690	3432
330	1697	3430
331	1703	3427
332	1710	3427
333	1717	3423
334	1723	3420
335	1728	3415
336	1734	3412
337	1740	3409
338	1746	3404
339	1751	3399
340	1756	3395
341	1762	3390
342	1767	3385
343	1772	3380
344	1778	3377
345	1785	3374
346	1793	3375
347	1799	3371
348	1804	3365
349	1808	3358
350	1812	3351
351	1816	3343
352	1821	3337
353	1825	3331
354	1830	3325
355	1834	3317
356	1838	3311
357	1843	3305
358	1847	3298
359	1851	3291
360	1855	3283
361	1859	3276
362	1863	3270
363	1867	3262
364	1872	3257
365	1876	3250
366	1880	3243
367	1884	3236
368	1888	3228
369	1892	3222
370	1896	3215
371	1900	3209
372	1905	3202
373	1909	3195
374	1913	3189
375	1917	3182
376	1921	3175
377	1926	3170
378	1931	3164
379	1935	3157
380	1939	3150
381	1945	3146
382	1949	3139
383	1953	3133
384	1957	3127
385	1961	3120
386	1965	3113
387	1970	3108
388	1978	3106
389	1982	3100
390	1987	3095
391	1993	3091
392	1999	3088
393	2005	3085
394	2009	3078
395	2016	3075
396	2023	3072
397	2026	3065
398	2033	3062
399	2040	3060
400	2043	3052
401	2048	3047
402	2052	3040
403	2059	3037
404	2065	3034
405	2072	3031
406	2076	3025
407	2081	3020
408	2087	3016
409	2092	3011
410	2097	3006
411	2103	3002
412	2106	2994
413	2111	2988
414	2116	2982
415	2119	2975
416	2123	2968
417	2127	2962
418	2133	2958
419	2137	2951
420	2141	2945
421	2147	2940
422	2151	2934
423	2154	2927
424	2159	2921
425	2164	2916
426	2167	2908
427	2173	2904
428	2181	2903
429	2186	2898
430	2190	2892
431	2196	2887
432	2201	2883
433	2206	2877
434	2212	2873
435	2215	2866
436	2221	2861
437	2227	2858
438	2231	2851
439	2236	2846
440	2241	2840
441	2244	2834
442	2248	2827
443	2254	2822
444	2261	2820
445	2267	2816
446	2271	2809
447	2277	2805
448	2280	2799
449	2285	2793
450	2289	2786
451	2292	2779
452	2298	2775
453	2304	2771
454	2310	2767
455	2315	2761
456	2320	2757
457	2324	2751
458	2329	2745
459	2335	2741
460	2338	2734
461	2341	2726
462	2345	2720
463	2350	2715
464	2354	2708
465	2357	2702
466	2364	2698
467	2370	2694
468	2375	2689
469	2379	2683
470	2383	2677
471	2390	2674
472	2395	2669
473	2401	2664
474	2404	2657
475	2408	2651
476	2412	2644
477	2415	2637
478	2419	2631
479	2423	2625
480	2429	2621
481	2432	2614
482	2437	2608
483	2441	2603
484	2446	2598
485	2450	2591
486	2456	2587
487	2462	2583
488	2465	2576
489	2470	2570
490	2474	2565
491	2478	2558
492	2481	2552
493	2486	2546
494	2492	2542
495	2496	2536
496	2501	2531
497	2506	2527
498	2510	2520
499	2513	2513
500	2518	2508
501	2523	2503
502	2526	2496
503	2531	2490
504	2535	2485
505	2540	2479
506	2543	2473
507	2548	2468
508	2553	2463
509	2556	2456
510	2559	2449
511	2564	2444
512	2571	2441
513	2574	2434
514	2579	2429
515	2583	2423
516	2587	2417
517	2594	2414
518	2598	2408
519	2603	2403
520	2606	2396
521	2609	2389
522	2614	2384
523	2617	2377
524	2621	2372
525	2629	2369
526	2635	2365
527	2638	2358
528	2643	2354
529	2649	2349
530	2653	2343
531	2657	2337
532	2661	2331
533	2666	2327
534	2670	2320
535	2675	2316
536	2680	2310
537	2683	2304
538	2687	2298
539	2691	2292
540	2697	2288
541	2700	2281
542	2705	2277
543	2711	2272
544	2715	2266
545	2719	2261
546	2728	2259
547	2732	2253
548	2737	2249
549	2744	2245
550	2748	2239
551	2754	2235
552	2760	2231
553	2763	2224
554	2768	2219
555	2773	2214
556	2777	2209
557	2781	2203
558	2785	2197
559	2789	2191
560	2795	2187
561	2799	2181
562	2802	2175
563	2805	2169
564	2809	2162
565	2812	2156
566	2816	2150
567	2819	2144
568	2823	2138
569	2826	2132
570	2830	2126
571	2833	2120
572	2837	2114
573	2840	2107
574	2844	2102
575	2847	2096
576	2851	2090
577	2855	2084
578	2859	2078
579	2862	2072
580	2864	2066
581	2867	2059
582	2870	2053
583	2873	2046
584	2877	2041
585	2881	2035
586	2887	2031
587	2891	2025
588	2894	2019
589	2898	2013
590	2901	2008
591	2904	2001
592	2907	1995
593	2912	1990
594	2917	1986
595	2921	1980
596	2926	1975
597	2930	1969
598	2934	1964
599	2939	1959
600	2946	1956
601	2950	1950
602	2954	1945
603	2958	1939
604	2963	1935
605	2967	1929
606	2973	1925
607	2983	1923
608	2990	1920
609	2996	1915
610	3004	1912
611	3010	1908
612	3014	1902
613	3019	1898
614	3026	1894
615	3029	1888
616	3034	1883
617	3041	1879
618	3044	1874
619	3049	1868
620	3055	1864
621	3058	1858
622	3061	1852
623	3066	1848
624	3072	1843
625	3076	1837
626	3081	1833
627	3086	1828
628	3090	1822
629	3093	1816
630	3100	1813
631	3105	1808
632	3109	1802
633	3114	1797
634	3119	1793
635	3123	1787
636	3127	1782
637	3132	1777
638	3136	1771
639	3139	1766
640	3144	1761
641	3151	1757
642	3155	1751
643	3160	1747
644	3166	1742
645	3169	1736
646	3174	1731
647	3180	1727
648	3184	1722
649	3190	1717
650	3194	1712
651	3199	1707
652	3202	1702
653	3207	1696
654	3216	1694
655	3223	1690
656	3231	1687
657	3236	1682
658	3241	1677
659	3244	1671
660	3248	1665
661	3255	1662
662	3258	1656
663	3262	1650
664	3265	1645
665	3270	1640
666	3275	1635
667	3279	1629
668	3284	1624
669	3288	1619
670	3294	1615
671	3298	1609
672	3303	1605
673	3309	1600
674	3314	1596
675	3320	1591
676	3325	1586
677	3329	1581
678	3335	1576
679	3338	1571
680	3342	1565
681	3347	1560
682	3352	1556
683	3356	1550
684	3360	1545
685	3368	1541
686	3372	1536
687	3377	1531
688	3381	1526
689	3385	1521
690	3392	1516
691	3397	1511
692	3402	1507
693	3406	1501
694	3411	1496
695	3416	1492
696	3420	1486
697	3424	1481
698	3429	1476
699	3433	1471
700	3437	1466
701	3443	1461
702	3448	1456
703	3451	1451
704	3456	1446
705	3461	1441
706	3465	1436
707	3470	1431
708	3474	1425
709	3477	1420
710	3483	1415
711	3487	1410
712	3493	1406
713	3497	1400
714	3502	1396
715	3508	1391
716	3512	1386
717	3517	1381
718	3523	1377
719	3527	1371
720	3532	1367
721	3539	1362
722	3543	1357
723	3548	1352
724	3553	1347
725	3556	1342
726	3560	1337
727	3564	1331
728	3568	1326
729	3571	1320
730	3574	1315
731	3577	1309
732	3581	1304
733	3586	1299
734	3589	1294
735	3592	1288
736	3596	1283
737	3600	1278
738	3603	1272
739	3607	1267
740	3611	1262
741	3615	1257
742	3618	1251
743	3622	1246
744	3627	1241
745	3633	1237
746	3637	1231
747	3642	1227
748	3647	1222
749	3651	1217
750	3655	1212
751	3660	1207
752	3665	1202
753	3669	1197
754	3674	1192
755	3679	1187
756	3683	1182
757	3688	1177
758	3694	1173
759	3698	1167
760	3701	1162
761	3706	1157
762	3711	1152
763	3714	1147
764	3719	1142
765	3726	1138
766	3729	1132
767	3734	1128
768	3738	1122
769	3743	1118
770	3749	1113
771	3754	1108
772	3758	1103
773	3761	1098
774	3767	1093
775	3773	1089
776	3777	1084
777	3781	1079
778	3785	1073
779	3791	1069
780	3796	1064
781	3802	1060
782	3806	1054
783	3810	1049
784	3815	1044
785	3819	1039
786	3823	1034
787	3828	1029
788	3833	1025
789	3836	1019
790	3839	1014
791	3842	1009
792	3846	1003
793	3848	998
794	3851	993
795	3854	987
796	3858	982
797	3864	978
798	3868	973
799	3871	967
800	3877	963
801	3882	958
802	3886	953
803	3891	948
804	3897	944
805	3900	938
806	3905	933
807	3910	929
808	3914	924
809	3919	919
810	3924	914
811	3929	909
812	3933	904
813	3938	899
814	3944	895
815	3948	890
816	3951	885
817	3957	880
818	3962	875
819	3965	870
820	3971	865
821	3977	861
822	3980	856
823	3985	851
824	3990	846
825	3994	841
826	3999	836
827	4007	832
828	4014	827
829	4019	823
830	4026	818
831	4030	813
832	4037	809
833	4045	805
834	4051	800
835	4058	796
836	4062	791
837	4070	786
838	4076	782
839	4084	778
840	4092	773
841	4102	769
842	4109	765
843	4117	761
844	4121	756
845	4129	751
846	4137	747
847	4143	742
848	4150	738
849	4155	733
850	4161	728
851	4169	724
852	4175	719
853	4180	714
854	4186	709
855	4197	706
856	4204	701
857	4212	697
858	4217	692
859	4224	687
860	4230	682
861	4238	678
862	4245	673
863	4250	669
864	4256	664
865	4263	659
866	4270	655
867	4274	650
868	4279	645
869	4287	640
870	4294	636
871	4300	631
872	4306	626
873	4311	621
874	4316	616
875	4321	611
876	4325	606
877	4330	601
878	4338	597
879	4344	592
880	4352	587
881	4359	583
882	4382	580
883	4392	576
884	4402	572
885	4409	567
886	4417	562
887	4425	558
888	4432	553
889	4438	548
890	4444	543
891	4462	540
892	4468	535
893	4475	530
894	4481	525
895	4489	521
896	4496	516
897	4503	511
898	4510	506
899	4517	501
900	4525	497
901	4530	492
902	4538	487
903	4543	482
904	4550	477
905	4558	472
906	4564	467
907	4570	463
908	4574	457
909	4580	452
910	4587	448
911	4591	443
912	4597	438
913	4603	433
914	4611	428
915	4618	423
916	4624	418
917	4634	413
918	4639	408
919	4645	403
920	4651	399
921	4656	393
922	4659	388
923	4662	383
924	4665	378
925	4669	373
926	4673	368
927	4679	363
928	4682	357
929	4686	352
930	4690	347
931	4694	342
932	4699	337
933	4703	332
934	4711	327
935	4714	322
936	4719	317
937	4725	312
938	4729	307
939	4734	302
940	4740	297
941	4743	292
942	4747	286
943	4752	281
944	4757	276
945	4761	271
946	4766	266
947	4771	261
948	4775	256
949	4780	251
950	4785	246
951	4788	241
952	4793	236
953	4800	231
954	4804	226
955	4809	221
956	4814	216
957	4820	211
958	4823	206
959	4829	201
960	4834	196
961	4837	191
962	4840	185
963	4845	180
964	4850	175
965	4854	170
966	4858	165
967	4864	160
968	4867	155
969	4870	150
970	4875	145
971	4880	140
972	4883	135
973	4887	130
974	4892	125
975	4897	120
976	4901	115
977	4905	110
978	4910	105
979	4914	100
980	4918	95
981	4922	90
982	4928	85
983	4931	80
984	4936	75
985	4941	70
986	4945	65
987	4949	60
988	4954	55
989	4959	50
990	4963	45
991	4966	40
992	4971	35
993	4976	30
994	4980	25
995	4985	20
996	4993	15
997	4996	10
998	5001	5
999	5005	0
